import time: self [us] | cumulative | imported package
import time:      2404 |       2404 |                     fnmatch
import time:      3517 |       5920 |                   glob
import time:       607 |        607 |                   pwd
import time:       379 |        379 |                   grp
import time:       496 |        496 |                     fcntl
import time:       486 |        486 |                     posix
import time:      1886 |       2867 |                   pathlib._os
import time:      1859 |      12628 |                 pathlib
import time:      1368 |       1368 |                       _bz2
import time:       917 |       2284 |                     bz2
import time:      1442 |       1442 |                       _lzma
import time:      1171 |       2612 |                     lzma
import time:      2902 |       7797 |                   shutil
import time:      1081 |       1081 |                     zipfile._path.glob
import time:      2826 |       3907 |                   zipfile._path
import time:      3264 |      14967 |                 zipfile
import time:      1395 |       1395 |                 importlib.metadata._meta
import time:      1106 |       1106 |                 importlib.metadata._collections
import time:       849 |        849 |                 importlib.metadata._functools
import time:       900 |        900 |                 importlib.metadata._itertools
import time:      1125 |       1125 |                 importlib.abc
import time:      2201 |      35167 |               importlib.metadata
import time:       856 |      36023 |             urllib3.http2
import time:      1048 |       1048 |             urllib3.http2.probe
import time:       757 |        757 |             urllib3.util.ssl_match_hostname
import time:      1779 |      39606 |           urllib3.connection
import time:      2248 |      43145 |         urllib3.response
import time:      1902 |      54856 |       urllib3._request_methods
import time:       774 |        774 |       urllib3.util.proxy
import time:      1949 |      62320 |     urllib3.connectionpool
import time:      3823 |       3823 |     urllib3.poolmanager
import time:      3031 |     321320 |   urllib3
import time:      1697 |       1697 |           81d243bd2c585b0f4821__mypyc
import time:      2746 |       2746 |           charset_normalizer.constant
import time:      3712 |       3712 |             unicodedata
import time:       222 |        222 |             _multibytecodec
import time:      1707 |       5640 |           charset_normalizer.utils
import time:      2420 |       2420 |           charset_normalizer.models
import time:      2307 |      14809 |         charset_normalizer.cd
import time:        77 |         77 |         _codecs_tw
import time:        70 |         70 |         _codecs_hk
import time:        72 |         72 |         _codecs_jp
import time:        88 |         88 |         _codecs_kr
import time:        72 |         72 |         _codecs_cn
import time:        73 |         73 |         _codecs_iso2022
import time:    189399 |     204656 |       charset_normalizer.api
import time:      1171 |       1171 |       charset_normalizer.legacy
import time:       999 |        999 |       charset_normalizer.version
import time:       445 |        445 |       simplejson
import time:      1591 |       1591 |           tempfile
import time:       984 |        984 |             urllib.response
import time:      1137 |       2121 |           urllib.error
import time:      3477 |       7188 |         urllib.request
import time:       130 |        130 |             _locale
import time:      1843 |       1973 |           locale
import time:      2655 |       4627 |         calendar
import time:      6841 |      18654 |       http.cookiejar
import time:      3884 |       3884 |       http.cookies
import time:      3678 |     233485 |     requests.compat
import time:      2091 |     235575 |   requests.exceptions
import time:       561 |        561 |   chardet
import time:      1412 |       1412 |         idna.idnadata
import time:       933 |        933 |         idna.intranges
import time:      2449 |       4793 |       idna.core
import time:      1429 |       1429 |       idna.package_data
import time:      1366 |       7588 |     idna
import time:      1747 |       9334 |   requests.packages
import time:      1514 |       1514 |               importlib.resources.abc
import time:      1680 |       3193 |             importlib.resources._common
import time:      3681 |       3681 |             importlib.resources._functional
import time:      1170 |       8043 |           importlib.resources
import time:      2021 |      10064 |         certifi.core
import time:      1352 |      11416 |       certifi
import time:      1170 |      12586 |     requests.certs
import time:      6070 |       6070 |     requests.__version__
import time:      2120 |       2120 |     requests._internal_utils
import time:      1776 |       1776 |     requests.cookies
import time:      1480 |       1480 |     requests.structures
import time:      1624 |       1624 |     importlib.resources._adapters
import time:      1423 |       1423 |         importlib.resources._itertools
import time:      3292 |       4714 |       importlib.resources.readers
import time:      1300 |       6013 |     importlib.readers
import time:      4991 |      36657 |   requests.utils
import time:      1780 |       1780 |         requests.auth
import time:      1270 |       1270 |             stringprep
import time:      1088 |       2357 |           encodings.idna
import time:      1120 |       1120 |           requests.hooks
import time:      1584 |       1584 |           requests.status_codes
import time:      1647 |       6706 |         requests.models
import time:      5927 |       5927 |           urllib3.contrib
import time:       470 |        470 |           socks
import time:      1650 |       8046 |         urllib3.contrib.socks
import time:      1847 |      18377 |       requests.adapters
import time:      1491 |      19868 |     requests.sessions
import time:      1628 |      21496 |   requests.api
import time:      1685 |     628934 | requests
import time:      1563 |       1563 | firebase_functions
import time:      1249 |       1249 |     cloudevents
import time:       973 |        973 |         cloudevents.exceptions
import time:      2234 |       2234 |           cloudevents.abstract.event
import time:      3079 |       5312 |         cloudevents.abstract
import time:      1398 |       1398 |         cloudevents.sdk
import time:       983 |        983 |             cloudevents.sdk.exceptions
import time:      1170 |       1170 |             cloudevents.sdk.types
import time:       827 |        827 |               cloudevents.sdk.event
import time:      1540 |       1540 |               cloudevents.sdk.event.base
import time:      1082 |       3448 |             cloudevents.sdk.converters.base
import time:       900 |        900 |             cloudevents.sdk.converters.util
import time:      3601 |       3601 |               cloudevents.sdk.event.opt
import time:      1061 |       4661 |             cloudevents.sdk.event.v1
import time:      1590 |       1590 |             cloudevents.sdk.event.v03
import time:      1260 |      14010 |           cloudevents.sdk.converters.binary
import time:      1243 |       1243 |           cloudevents.sdk.converters.structured
import time:      1336 |      16588 |         cloudevents.sdk.converters
import time:       963 |        963 |         cloudevents.sdk.marshaller
import time:       947 |      26177 |       cloudevents.conversion
import time:      1997 |       1997 |           _uuid
import time:      2384 |       4380 |         uuid
import time:      1157 |       5537 |       cloudevents.http.event
import time:      1130 |      32843 |     cloudevents.http.conversion
import time:      1102 |       1102 |         packaging
import time:      1159 |       1159 |           packaging._structures
import time:      5988 |       7147 |         packaging.version
import time:      1310 |       9558 |       deprecation
import time:       969 |      10527 |     cloudevents.http.event_type
import time:      1426 |       1426 |     cloudevents.http.http_methods
import time:      1063 |       1063 |     cloudevents.http.json_methods
import time:      1276 |      48381 |   cloudevents.http
import time:      1117 |       1117 |     google.cloud.firestore_v1.gapic_version
import time:      1989 |       1989 |             google.protobuf
import time:      1105 |       1105 |                 google.protobuf.internal
import time:       183 |        183 |                   google.protobuf.internal._api_implementation
import time:      1436 |       1436 |                   google.protobuf.message
import time:      1189 |       1189 |                   google.protobuf.internal.enum_type_wrapper
import time:       196 |        196 |                   google.protobuf.enable_deterministic_proto_serialization
import time:      3802 |       6805 |                 google.protobuf.internal.api_implementation
