import time: self [us] | cumulative | imported package
import time:      4679 |       4679 |                   google.cloud.firestore_v1.query_profile
import time:      2445 |       7124 |                 google.cloud.firestore_v1.query_results
import time:      1583 |       1583 |                 google.cloud.firestore_v1.stream_generator
import time:      1082 |      12768 |               google.cloud.firestore_v1.aggregation
import time:      1970 |       1970 |                 google.cloud.firestore_v1.base_vector_query
import time:      2226 |       2226 |                 google.cloud.firestore_v1.order
import time:      2503 |       6699 |               google.cloud.firestore_v1.base_query
import time:      1892 |       1892 |               google.cloud.firestore_v1.vector_query
import time:      1454 |      22811 |             google.cloud.firestore_v1.query
import time:      1136 |      32852 |           google.cloud.firestore_v1.transaction
import time:      1969 |       1969 |           google.cloud.firestore_v1.async_stream_generator
import time:      1059 |      35879 |         google.cloud.firestore_v1.async_aggregation
import time:      4234 |       4234 |           google.cloud.firestore_v1.async_vector_query
import time:      2056 |       6290 |         google.cloud.firestore_v1.async_query
import time:      2117 |       2117 |         google.cloud.firestore_v1.base_collection
import time:      1169 |      45453 |       google.cloud.firestore_v1.async_collection
import time:      1816 |       1816 |       google.cloud.firestore_v1.async_document
import time:      2294 |       2294 |         google.cloud.firestore_v1.pipeline_stages
import time:      1429 |       1429 |         google.cloud.firestore_v1.base_pipeline
import time:      2225 |       2225 |         google.cloud.firestore_v1.pipeline_result
import time:      1333 |       7280 |       google.cloud.firestore_v1.async_pipeline
import time:      5689 |       5689 |       google.cloud.firestore_v1.async_transaction
import time:      1236 |       1236 |         google.api_core.client_options
import time:      1582 |       1582 |         google.api_core.path_template
import time:      1012 |       1012 |           google.auth.api_key
import time:      1412 |       2424 |         google.cloud.client
import time:      1160 |       1160 |           google.cloud.firestore_v1.bulk_batch
import time:       896 |        896 |           google.cloud.firestore_v1.rate_limiter
import time:      6883 |       8939 |         google.cloud.firestore_v1.bulk_writer
import time:      1536 |       1536 |         google.cloud.firestore_v1.pipeline_source
import time:       961 |        961 |           google.cloud.firestore_v1.services
import time:       427 |        427 |             google.cloud.location
import time:      8040 |       8040 |               google.api
import time:       984 |        984 |                 google.api.http_pb2
import time:      1765 |       2749 |               google.api.annotations_pb2
import time:       829 |        829 |                 google.api.launch_stage_pb2
import time:      1700 |       2529 |               google.api.client_pb2
import time:      1372 |      14689 |             google.cloud.location.locations_pb2
import time:       515 |        515 |             google.longrunning
import time:       755 |        755 |                   google.protobuf.empty_pb2
import time:      1156 |       1156 |                   google.longrunning.operations_proto_pb2
import time:       775 |       2684 |                 google.longrunning.operations_pb2_grpc
import time:       732 |       3416 |               google.longrunning.operations_grpc_pb2
import time:      1020 |       4435 |             google.longrunning.operations_pb2
import time:      1319 |       1319 |             google.cloud.firestore_v1.services.firestore.pagers
import time:      1223 |       1223 |               google.auth.transport.mtls
import time:      1960 |       1960 |               google.api_core.client_logging
import time:      1290 |       1290 |                   google.cloud.firestore_v1.services.firestore.transports.base
import time:      1214 |       1214 |                   google.cloud.firestore_v1.services.firestore.transports.grpc
import time:      1316 |       1316 |                   google.cloud.firestore_v1.services.firestore.transports.grpc_asyncio
import time:       837 |        837 |                     google.api_core.rest_helpers
import time:       780 |        780 |                       google.api_core._rest_streaming_base
import time:       826 |       1606 |                     google.api_core.rest_streaming
import time:      1521 |       1521 |                     google.cloud.firestore_v1.services.firestore.transports.rest_base
import time:      2770 |       6733 |                   google.cloud.firestore_v1.services.firestore.transports.rest
import time:      1157 |      11708 |                 google.cloud.firestore_v1.services.firestore.transports
import time:        29 |      11736 |               google.cloud.firestore_v1.services.firestore.transports.base
import time:      3074 |      17991 |             google.cloud.firestore_v1.services.firestore.client
import time:      1821 |      41195 |           google.cloud.firestore_v1.services.firestore.async_client
import time:      1219 |      43373 |         google.cloud.firestore_v1.services.firestore
import time:      1770 |      60857 |       google.cloud.firestore_v1.base_client
import time:      1363 |     122456 |     google.cloud.firestore_v1.async_client
import time:      1277 |       1277 |       google.cloud.firestore_v1.collection
import time:       994 |        994 |       google.cloud.firestore_v1.pipeline
import time:      3680 |       5950 |     google.cloud.firestore_v1.client
import time:      1923 |    1012753 |   google.cloud.firestore_v1
import time:       484 |        484 |       google.events
import time:       549 |       1033 |     google.events.cloud
import time:       849 |        849 |     google.events.cloud.firestore.gapic_version
import time:       754 |        754 |           google.events.cloud.firestore_v1.gapic_version
import time:      2073 |       2073 |               google.events.cloud.firestore_v1.types.data
import time:       771 |       2843 |             google.events.cloud.firestore_v1.types
import time:        24 |       2867 |           google.events.cloud.firestore_v1.types.data
import time:       828 |       4448 |         google.events.cloud.firestore_v1
import time:        14 |       4462 |       google.events.cloud.firestore_v1.types
import time:        25 |       4487 |     google.events.cloud.firestore_v1.types.data
import time:      1120 |       7488 |   google.events.cloud.firestore
import time:      2614 |       2614 |         google.auth._cloud_sdk
import time:       388 |        388 |               termios
import time:       982 |       1370 |             getpass
import time:      3718 |       3718 |                 google.oauth2.webauthn_types
import time:       884 |       4602 |               google.oauth2.webauthn_handler
import time:       752 |       5353 |             google.oauth2.webauthn_handler_factory
import time:      1097 |       7819 |           google.oauth2.challenges
import time:       978 |       8796 |         google.oauth2.reauth
import time:      1269 |      12679 |       google.oauth2.credentials
import time:      1435 |      14113 |     firebase_admin.credentials
import time:       877 |        877 |     firebase_admin.__about__
import time:      1431 |      16420 |   firebase_admin
import time:      2168 |       2168 |     firebase_functions.logger
import time:      5105 |       7273 |   firebase_functions.core
import time:      1725 |       1725 |     firebase_functions.private
import time:      2246 |       3971 |   firebase_functions.private.path_pattern
import time:      1593 |       1593 |             jwt.exceptions
import time:      1757 |       1757 |             jwt.types
import time:      4166 |       4166 |             jwt.utils
import time:      1966 |       9480 |           jwt.algorithms
import time:      1208 |      10688 |         jwt.api_jwk
import time:      1343 |       1343 |           jwt.warnings
import time:      1825 |       3168 |         jwt.api_jws
import time:      1355 |       1355 |         jwt.api_jwt
import time:      1366 |       1366 |           jwt.jwk_set_cache
import time:      1907 |       3272 |         jwt.jwks_client
import time:      1204 |      19686 |       jwt
import time:      1074 |       1074 |           httpx.__version__
import time:      1795 |       1795 |                 httpx._exceptions
import time:      1841 |       1841 |                       httpx._types
import time:      1543 |       1543 |                       httpx._utils
import time:      1742 |       5126 |                     httpx._multipart
import time:      1222 |       6348 |                   httpx._content
import time:       531 |        531 |                     brotli
import time:       365 |        365 |                     brotlicffi
import time:       364 |        364 |                     zstandard
import time:      4252 |       5510 |                   httpx._decoders
import time:      1951 |       1951 |                   httpx._status_codes
import time:      3365 |       3365 |                     httpx._urlparse
import time:      1721 |       5085 |                   httpx._urls
import time:      1966 |      20858 |                 httpx._models
import time:      1903 |      24555 |               httpx._auth
import time:      1213 |       1213 |               httpx._config
import time:      1456 |       1456 |                     httpx._transports.base
import time:      3876 |       5332 |                   httpx._transports.asgi
import time:      1888 |       1888 |                   httpx._transports.default
import time:      1288 |       1288 |                   httpx._transports.mock
import time:      1188 |       1188 |                   httpx._transports.wsgi
import time:      1571 |      11265 |                 httpx._transports
import time:        52 |      11317 |               httpx._transports.base
import time:      2893 |      39977 |             httpx._client
import time:      3880 |      43857 |           httpx._api
import time:      1139 |       1139 |                 gettext
import time:      2209 |       2209 |                         sysconfig
import time:      3119 |       3119 |                         _ctypes
import time:      1262 |       1262 |                         ctypes._endian
import time:      2168 |       8756 |                       ctypes
import time:      1757 |       1757 |                         ctypes._layout
import time:      2559 |       4315 |                       ctypes.wintypes
import time:      2045 |      15116 |                     click._winconsole
import time:      2470 |      17585 |                   click._compat
import time:       831 |        831 |                     click.globals
import time:      1100 |       1100 |                     click.utils
import time:      1713 |       3643 |                   click.exceptions
import time:      4142 |      25369 |                 click.types
import time:      1324 |       1324 |                 click._utils
import time:      1080 |       1080 |                   click.parser
import time:      1164 |       2244 |                 click.formatting
import time:      1053 |       1053 |                 click.termui
import time:      2681 |      33808 |               click.core
import time:      1203 |       1203 |               click.decorators
import time:      1498 |      36508 |             click
import time:       468 |        468 |               pygments
import time:        51 |        519 |             pygments.lexers
import time:      1250 |      38276 |           httpx._main
import time:      1602 |      84806 |         httpx
import time:      1048 |       1048 |         firebase_admin.exceptions
import time:      1160 |      87014 |       firebase_admin._utils
import time:      1068 |     107767 |     firebase_admin.app_check
import time:      1204 |       1204 |           firebase_admin._auth_utils
import time:       766 |        766 |             firebase_admin._rfc3339
import time:       860 |        860 |             firebase_admin._user_identifier
import time:      1016 |       1016 |             firebase_admin._user_import
import time:      1435 |       4075 |           firebase_admin._user_mgt
import time:      1070 |       6349 |         firebase_admin._auth_providers
import time:       896 |        896 |           firebase_admin._retry
import time:      1128 |       2023 |         firebase_admin._http_client
import time:      3115 |       3115 |               cachecontrol.cache
import time:      1343 |       1343 |                     msgpack.exceptions
import time:      1332 |       1332 |                     msgpack.ext
import time:      1929 |       1929 |                     msgpack._cmsgpack
import time:      1425 |       6027 |                   msgpack
import time:       998 |       7025 |                 cachecontrol.serialize
import time:      1858 |       8882 |               cachecontrol.controller
import time:       115 |        115 |                 mmap
import time:      1103 |       1218 |               cachecontrol.filewrapper
import time:      1072 |      14286 |             cachecontrol.adapter
import time:      1279 |       1279 |             cachecontrol.wrapper
import time:      2529 |      18094 |           cachecontrol
import time:      1235 |       1235 |           google.oauth2.id_token
import time:      1901 |      21228 |         firebase_admin._token_gen
import time:      1578 |      31177 |       firebase_admin._auth_client
import time:      4097 |      35274 |     firebase_admin.auth
import time:      1290 |       1290 |                 socketserver
import time:      1968 |       1968 |                     html.entities
import time:      1369 |       3337 |                   html
import time:     18610 |      21946 |                 http.server
import time:      4083 |       4083 |                 werkzeug._internal
import time:      1703 |       1703 |                     markupsafe._speedups
import time:      1621 |       3324 |                   markupsafe
import time:      2200 |       5523 |                 werkzeug.exceptions
import time:      1098 |       1098 |                         werkzeug.datastructures.mixins
import time:      2443 |       3541 |                       werkzeug.datastructures.structures
import time:      2007 |       5547 |                     werkzeug.datastructures.accept
import time:      2269 |       2269 |                     werkzeug.datastructures.auth
import time:      1787 |       1787 |                     werkzeug.datastructures.cache_control
import time:      1216 |       1216 |                     werkzeug.datastructures.csp
import time:      1107 |       1107 |                     werkzeug.datastructures.etag
import time:      1396 |       1396 |                       werkzeug.datastructures.headers
import time:      1352 |       2747 |                     werkzeug.datastructures.file_storage
import time:      1471 |       1471 |                     werkzeug.datastructures.range
import time:      1202 |      17344 |                   werkzeug.datastructures
import time:       947 |        947 |                   werkzeug.sansio
import time:      1414 |       1414 |                   werkzeug.sansio.http
import time:      2839 |      22542 |                 werkzeug.http
import time:      2774 |       2774 |                 werkzeug.urls
import time:      1247 |       1247 |                       colorama.ansi
import time:      1164 |       1164 |                         colorama.win32
import time:      1150 |       2314 |                       colorama.winterm
import time:      1373 |       4933 |                     colorama.ansitowin32
import time:      1729 |       6661 |                   colorama.initialise
import time:      2391 |       9052 |                 colorama
import time:      2181 |      69388 |               werkzeug.serving
import time:      8732 |       8732 |                 werkzeug.sansio.multipart
import time:      1416 |       1416 |                     secrets
import time:       899 |       2314 |                   werkzeug.security
import time:      1187 |       1187 |                     werkzeug.sansio.utils
import time:      1268 |       2455 |                   werkzeug.wsgi
import time:      2162 |       6929 |                 werkzeug.utils
import time:       871 |        871 |                       werkzeug.formparser
import time:      3237 |       3237 |                         werkzeug.user_agent
import time:      1820 |       5056 |                       werkzeug.sansio.request
import time:      1369 |       7295 |                     werkzeug.wrappers.request
import time:      1262 |       1262 |                       werkzeug.sansio.response
import time:      1722 |       2983 |                     werkzeug.wrappers.response
import time:      1158 |      11435 |                   werkzeug.wrappers
import time:        58 |      11492 |                 werkzeug.wrappers.request
import time:      2774 |      29926 |               werkzeug.test
import time:      1030 |     100344 |             werkzeug
import time:      2530 |     102874 |           werkzeug.local
import time:       890 |     103763 |         flask.globals
import time:      2929 |       2929 |             _decimal
import time:      1007 |       3936 |           decimal
import time:      1428 |       5364 |         flask.json.provider
import time:      1410 |     110536 |       flask.json
import time:      1530 |       1530 |           werkzeug.routing.converters
import time:     15047 |      15047 |             difflib
import time:      1243 |      16289 |           werkzeug.routing.exceptions
import time:      8129 |       8129 |             pprint
import time:      4383 |       4383 |               werkzeug.routing.rules
import time:      2084 |       6466 |             werkzeug.routing.matcher
import time:      1512 |      16107 |           werkzeug.routing.map
import time:      1849 |      35774 |         werkzeug.routing
import time:       663 |        663 |                   blinker._utilities
import time:      1207 |       1869 |                 blinker.base
import time:       952 |       2821 |               blinker
import time:       698 |       3519 |             flask.signals
import time:      1026 |       4545 |           flask.helpers
import time:      3307 |       7851 |         flask.cli
import time:      1833 |       1833 |         flask.typing
import time:      3040 |       3040 |         flask.ctx
import time:       651 |        651 |           flask.sansio
import time:      1032 |       1032 |           flask.config
import time:       893 |        893 |           flask.logging
import time:      1119 |       1119 |               jinja2.bccache
import time:      2493 |       2493 |                   jinja2.utils
import time:      2997 |       5489 |                 jinja2.nodes
import time:      1119 |       1119 |                   jinja2.exceptions
import time:      1893 |       1893 |                     jinja2.visitor
import time:      4681 |       6574 |                   jinja2.idtracking
import time:      1175 |       1175 |                   jinja2.optimizer
import time:      3200 |      12067 |                 jinja2.compiler
import time:      1515 |       1515 |                     jinja2.async_utils
import time:     11967 |      11967 |                     jinja2.runtime
import time:      7675 |      21157 |                   jinja2.filters
import time:      1552 |       1552 |                   jinja2.tests
import time:      1438 |      24146 |                 jinja2.defaults
import time:      2553 |       2553 |                   jinja2._identifier
import time:      4160 |       6713 |                 jinja2.lexer
import time:      2059 |       2059 |                 jinja2.parser
import time:      3811 |      54283 |               jinja2.environment
import time:      1990 |       1990 |               jinja2.loaders
import time:      1206 |      58596 |             jinja2
import time:       925 |      59521 |           flask.templating
import time:      3996 |       3996 |           flask.sansio.scaffold
import time:      1872 |      67962 |         flask.sansio.app
import time:      1270 |       1270 |               itsdangerous.exc
import time:      1669 |       2938 |             itsdangerous.encoding
import time:      1348 |       1348 |               itsdangerous.signer
import time:      1575 |       2923 |             itsdangerous.serializer
import time:      1394 |       1394 |             itsdangerous.timed
import time:       891 |        891 |               itsdangerous._json
import time:      2045 |       2935 |             itsdangerous.url_safe
import time:      1908 |      12095 |           itsdangerous
import time:      2570 |       2570 |           flask.json.tag
import time:      2213 |      16877 |         flask.sessions
import time:      1282 |       1282 |         flask.wrappers
import time:      4981 |     139598 |       flask.app
import time:      1800 |       1800 |         flask.sansio.blueprints
import time:      1404 |       3204 |       flask.blueprints
import time:      3180 |     256517 |     flask
import time:      1485 |       1485 |         logging.handlers
import time:      2746 |       4231 |       logging.config
import time:      3374 |       3374 |         functions_framework.exceptions
import time:      2026 |       5399 |       functions_framework._function_registry
import time:      1375 |       1375 |       functions_framework._typed_event
import time:       989 |        989 |         functions_framework.background_event
import time:      1128 |       1128 |           google.cloud.functions
import time:       934 |        934 |             google.cloud.functions_v1
import time:      1370 |       2303 |           google.cloud.functions_v1.context
import time:      1430 |       4861 |         google.cloud.functions.context
import time:      2232 |       8081 |       functions_framework.event_conversion
import time:      1554 |       1554 |       functions_framework.execution_id
import time:      2001 |      22639 |     functions_framework
import time:      5340 |     427534 |   firebase_functions.private.util
import time:        71 |         71 |         _sysconfig
import time:      4084 |       4155 |       zoneinfo._tzpath
import time:      3237 |       3237 |       zoneinfo._common
import time:      2219 |       2219 |       _zoneinfo
import time:      1648 |      11257 |     zoneinfo
import time:     13289 |      13289 |       firebase_functions.params
import time:     10180 |      23469 |     firebase_functions.private.manifest
import time:     34844 |      69569 |   firebase_functions.options
import time:      8067 |    1601451 | firebase_functions.firestore_fn
import time:      2472 |       2472 | firebase_functions.scheduler_fn
import time:      1210 |       1210 |       flask_cors.core
import time:      1442 |       2651 |     flask_cors.decorator
import time:      1797 |       1797 |     flask_cors.extension
import time:      1359 |       1359 |     flask_cors.version
import time:      4556 |      10361 |   flask_cors
import time:      6527 |      16888 | firebase_functions.https_fn
import time:      1089 |       1089 |   google.cloud.firestore
import time:      3577 |       4665 | firebase_admin.firestore
import time:      1392 |       1392 |   pytz.exceptions
import time:      1260 |       1260 |   pytz.lazy
import time:      1412 |       1412 |   pytz.tzinfo
import time:       940 |        940 |   pytz.tzfile
import time:      3207 |       8209 | pytz
